frame,time_sec,p_now_ch1,p_now_ch2,p_future_ch1,p_future_ch2,vad_ch1,vad_ch2
0,0.000000,0.462454736,0.537340701,0.496091843,0.503826439,0.164262801,0.209775954
1,0.050000,0.751781642,0.248007655,0.628605664,0.371280819,0.256037056,0.129702121
2,0.100000,0.603350520,0.396305472,0.554003000,0.445889294,0.266302705,0.132252038
3,0.150000,0.627119064,0.372632742,0.553013802,0.446910560,0.396942079,0.157563597
4,0.200000,0.928626180,0.071350157,0.686359704,0.313614070,0.639761090,0.146674156
5,0.250000,0.967179418,0.032814216,0.663941801,0.336048424,0.839009404,0.135321140
6,0.300000,0.953529298,0.046463609,0.647087693,0.352903605,0.762041271,0.126680166
7,0.350000,0.887698770,0.112288229,0.602252722,0.397738844,0.690204799,0.151532531
8,0.400000,0.879482388,0.120503224,0.603017926,0.396973401,0.566644549,0.147795916
9,0.450000,0.819558561,0.180423632,0.603490770,0.396500647,0.429613113,0.139007151
10,0.500000,0.766540587,0.233440325,0.605831504,0.394160122,0.323258817,0.122245044
11,0.550000,0.711911738,0.288068682,0.585742056,0.414249450,0.277503669,0.123450667
12,0.600000,0.871031523,0.128958300,0.600452185,0.399539530,0.338150680,0.144472927
13,0.650000,0.887275934,0.112715632,0.568961918,0.431029707,0.514278948,0.129853278
14,0.700000,0.774517417,0.225467533,0.523508787,0.476481944,0.351831764,0.128192872
15,0.750000,0.814623356,0.185364455,0.494680643,0.505310118,0.431545466,0.145947784
16,0.800000,0.886739552,0.113252230,0.530126989,0.469863683,0.625299871,0.167946577
17,0.850000,0.924216747,0.075776324,0.607759237,0.392231435,0.669581652,0.172592342
18,0.900000,0.931081891,0.068911619,0.621185482,0.378805041,0.717327237,0.148557216
19,0.950000,0.943484485,0.056509182,0.650054693,0.349935591,0.775605738,0.152777970
20,1.000000,0.949518919,0.050474618,0.649945259,0.350044727,0.710802078,0.150010794
21,1.050000,0.953767359,0.046226151,0.653637946,0.346352220,0.649738133,0.147109061
22,1.100000,0.956654608,0.043338858,0.670309961,0.329680353,0.621224761,0.136547118
23,1.150000,0.959335387,0.040657893,0.688973904,0.311016351,0.599593520,0.148368448
24,1.200000,0.963247776,0.036745302,0.716726661,0.283263534,0.598753333,0.125366718
25,1.250000,0.959616899,0.040375449,0.718539476,0.281450450,0.528955400,0.148137450
26,1.300000,0.959677994,0.040313769,0.715645790,0.284344047,0.444888055,0.148958296
27,1.350000,0.951611221,0.048378978,0.711442649,0.288547009,0.346700042,0.137792856
28,1.400000,0.937764943,0.062223487,0.697642744,0.302346826,0.309034765,0.132602572
29,1.450000,0.917968333,0.082018420,0.703180611,0.296809196,0.289314866,0.116881788
30,1.500000,0.918556333,0.081430979,0.701422811,0.298566848,0.341911286,0.119141966
31,1.550000,0.864002585,0.135979936,0.715963721,0.284026444,0.282844603,0.122723728
32,1.600000,0.841206074,0.158775583,0.727160096,0.272830337,0.212336630,0.145867586
33,1.650000,0.821752131,0.178228974,0.725584030,0.274406224,0.212182969,0.162800014
34,1.700000,0.810516953,0.189464077,0.731116533,0.268873751,0.185402185,0.133808196
35,1.750000,0.787701488,0.212280050,0.725242853,0.274747550,0.146678448,0.126495749
36,1.800000,0.889639735,0.110349908,0.746738732,0.253251910,0.195892692,0.127828002
37,1.850000,0.841195524,0.158790782,0.722469270,0.277521044,0.172165215,0.146856010
38,1.900000,0.770079374,0.229902670,0.709707320,0.290282875,0.123991728,0.151120573
39,1.950000,0.758332729,0.241647974,0.714821160,0.285168767,0.099644631,0.141332090
40,2.000000,0.762637615,0.237343743,0.716825843,0.283164412,0.090071380,0.142223090
41,2.050000,0.738662004,0.261318326,0.700817049,0.299172997,0.072310865,0.134655923
42,2.100000,0.735349953,0.264630169,0.701362312,0.298627496,0.077471226,0.141183048
43,2.150000,0.725185573,0.274793953,0.694057465,0.305932134,0.068706095,0.133801013
44,2.200000,0.724594414,0.275384665,0.692043245,0.307946205,0.065433174,0.128135651
45,2.250000,0.735223770,0.264754921,0.693729639,0.306259573,0.063843995,0.141066581
46,2.300000,0.747488081,0.252491653,0.693196893,0.306792259,0.074080110,0.144915879
47,2.350000,0.746491432,0.253487706,0.693511844,0.306477129,0.070799887,0.151131898
48,2.400000,0.757234156,0.242745131,0.684711218,0.315277517,0.070492595,0.131139100
49,2.450000,0.754478216,0.245499864,0.698289275,0.301699579,0.065660477,0.132909983
50,2.500000,0.762479544,0.237498865,0.705037892,0.294950902,0.068582416,0.127187461
51,2.550000,0.763454854,0.236523390,0.700101197,0.299887300,0.067044318,0.143090636
52,2.600000,0.777149498,0.222829238,0.700454175,0.299534380,0.068392694,0.142343104
53,2.650000,0.778320432,0.221657991,0.696382582,0.303605914,0.066575050,0.147354662
54,2.700000,0.776523113,0.223453820,0.688273132,0.311714947,0.065125912,0.133856148
55,2.750000,0.758407235,0.241569281,0.681517363,0.318470776,0.074990928,0.143943399
56,2.800000,0.764390588,0.235585660,0.682299197,0.317688823,0.074540228,0.138058782
57,2.850000,0.918100655,0.081889063,0.748578489,0.251410156,0.155894339,0.141429782
58,2.900000,0.881099105,0.118887119,0.722869754,0.277118236,0.153388262,0.146062672
59,2.950000,0.810345948,0.189632744,0.693198442,0.306789100,0.105921030,0.155617118
60,3.000000,0.795598507,0.204377174,0.689578950,0.310408115,0.111437738,0.140631437
61,3.050000,0.791711092,0.208263502,0.692746699,0.307240367,0.094964027,0.150792032
62,3.100000,0.771487057,0.228486165,0.676756501,0.323230624,0.085016489,0.146722615
63,3.150000,0.765304506,0.234667376,0.669801712,0.330185205,0.090504944,0.146158248
64,3.200000,0.756536543,0.243435651,0.667386830,0.332600176,0.088974684,0.163134009
65,3.250000,0.762126267,0.237845883,0.665998936,0.333987981,0.089910626,0.151931882
66,3.300000,0.755146503,0.244823962,0.652681589,0.347305179,0.082600266,0.133235216
67,3.350000,0.756695986,0.243274495,0.657774687,0.342212290,0.087976992,0.139740318
68,3.400000,0.767637849,0.232333332,0.665067196,0.334919363,0.089532733,0.142243832
69,3.450000,0.759394646,0.240575328,0.654031813,0.345954686,0.084000528,0.137592971
70,3.500000,0.754351437,0.245617196,0.646493495,0.353492916,0.079084396,0.134149075
71,3.550000,0.739188135,0.260779619,0.637595117,0.362391055,0.081717461,0.148738772
72,3.600000,0.733642638,0.266325057,0.638745070,0.361241132,0.091770053,0.161440790
73,3.650000,0.769279540,0.230691358,0.653581977,0.346404433,0.106217146,0.145207107
74,3.700000,0.731766760,0.268200397,0.631757736,0.368228525,0.089393526,0.149962962
75,3.750000,0.734862983,0.265103668,0.633506298,0.366479516,0.087111771,0.143512905
76,3.800000,0.722216010,0.277748674,0.626856148,0.373129487,0.083174676,0.142014712
77,3.850000,0.709239662,0.290724039,0.613726676,0.386258900,0.084396899,0.147520274
78,3.900000,0.692645431,0.307318956,0.607523084,0.392462462,0.097904801,0.172877431
79,3.950000,0.700703025,0.299259514,0.611942112,0.388043225,0.081090331,0.153835773
80,4.000000,0.710026681,0.289936930,0.617040813,0.382944614,0.094708800,0.158897907
81,4.050000,0.707078278,0.292883724,0.617047787,0.382937461,0.076668710,0.157890558
82,4.100000,0.713333905,0.286629260,0.613759339,0.386225879,0.087831497,0.145321906
83,4.150000,0.741602480,0.258364797,0.628903925,0.371081531,0.094716221,0.158719152
84,4.200000,0.737099349,0.262866378,0.628034294,0.371951133,0.095650613,0.139330596
85,4.250000,0.724748671,0.275212944,0.617756367,0.382228374,0.083558977,0.141087115
86,4.300000,0.721675098,0.278284550,0.613285720,0.386698484,0.080274135,0.148829252
