frame,time_sec,p_now_ch1,p_now_ch2,p_future_ch1,p_future_ch2,vad_ch1,vad_ch2
0,0.000000,0.391571939,0.608407080,0.414985001,0.585005581,0.191771358,0.225977957
1,0.050000,0.704504371,0.295478612,0.575849175,0.424141884,0.276435107,0.187006503
2,0.100000,0.587524176,0.412447125,0.530506432,0.469482958,0.317766905,0.201835394
3,0.150000,0.669923604,0.330051869,0.573676944,0.426312804,0.391518772,0.226645619
4,0.200000,0.929698646,0.070292801,0.807628572,0.192364022,0.547246754,0.208361894
5,0.250000,0.969152331,0.030841850,0.755107939,0.244885206,0.720466018,0.199876368
6,0.300000,0.952377677,0.047615580,0.677527606,0.322465479,0.645905614,0.191161782
7,0.350000,0.874503314,0.125484928,0.659248650,0.340744436,0.625059009,0.222874910
8,0.400000,0.913785100,0.086204924,0.676670492,0.323322058,0.574599028,0.228106081
9,0.450000,0.869653642,0.130333155,0.680683494,0.319308758,0.460151076,0.209221542
10,0.500000,0.808920145,0.191065431,0.657463908,0.342528552,0.367243409,0.213256955
11,0.550000,0.755870521,0.244114280,0.631872892,0.368119746,0.324395597,0.203826517
12,0.600000,0.890821993,0.109169595,0.689793110,0.310199529,0.357025087,0.212510347
13,0.650000,0.929119825,0.070873477,0.681847930,0.318144590,0.512312233,0.205093324
14,0.700000,0.837936223,0.162051603,0.591756821,0.408235431,0.422735304,0.193746775
15,0.750000,0.861849725,0.138140008,0.532897353,0.467094690,0.495250046,0.233588398
16,0.800000,0.918874323,0.081118822,0.585997820,0.413994044,0.646673024,0.248219997
17,0.850000,0.940012157,0.059981778,0.697907031,0.302085161,0.653408885,0.236400872
18,0.900000,0.945634842,0.054359399,0.725276113,0.274716258,0.670481205,0.217328548
19,0.950000,0.953025579,0.046968743,0.738475382,0.261516869,0.638676286,0.218484759
20,1.000000,0.957334280,0.042659946,0.734731495,0.265260726,0.612013161,0.218514115
21,1.050000,0.961072862,0.038921501,0.724281549,0.275710762,0.601694942,0.213780850
22,1.100000,0.965509474,0.034484837,0.724831641,0.275160760,0.572568059,0.197844833
23,1.150000,0.967661321,0.032332931,0.731562018,0.268430263,0.539011002,0.200042367
24,1.200000,0.973870516,0.026123766,0.742344797,0.257647574,0.531751871,0.203360736
25,1.250000,0.973829865,0.026164124,0.721947432,0.278044730,0.472517669,0.230327457
26,1.300000,0.976606905,0.023386968,0.718702376,0.281289816,0.450060338,0.215213358
27,1.350000,0.971767485,0.028225677,0.696952760,0.303039342,0.372857392,0.207983851
28,1.400000,0.967997491,0.031995073,0.690500081,0.309492052,0.367484748,0.190691024
29,1.450000,0.962316334,0.037675761,0.696926773,0.303065419,0.358443618,0.180414736
30,1.500000,0.968752444,0.031240564,0.714935243,0.285057068,0.414956272,0.191309333
31,1.550000,0.944404840,0.055585578,0.733651161,0.266341090,0.402401477,0.192635715
32,1.600000,0.925615788,0.074373066,0.747544825,0.252447426,0.322028816,0.219887286
33,1.650000,0.912470758,0.087517746,0.752798975,0.247193187,0.326074064,0.230494350
34,1.700000,0.908962309,0.091025800,0.774908066,0.225084126,0.301018447,0.214950353
35,1.750000,0.903292716,0.096695177,0.786922932,0.213069186,0.272931278,0.206762373
36,1.800000,0.946269691,0.053722706,0.782848895,0.217143297,0.336407006,0.197325945
37,1.850000,0.930279970,0.069710635,0.793181777,0.206810296,0.321025044,0.224187165
38,1.900000,0.897153556,0.102833718,0.824173987,0.175818160,0.256782264,0.214165151
39,1.950000,0.877834737,0.122152463,0.817597032,0.182395339,0.223837256,0.202056438
40,2.000000,0.874554038,0.125433072,0.813739061,0.186253279,0.209283710,0.216963917
41,2.050000,0.854647875,0.145338237,0.803906858,0.196085289,0.172461390,0.213006645
42,2.100000,0.847700417,0.152285472,0.801782727,0.198209316,0.174701244,0.209399343
43,2.150000,0.831752419,0.168232575,0.797392070,0.202599794,0.166304916,0.188361198
44,2.200000,0.808622658,0.191362008,0.784684241,0.215307713,0.157384247,0.201727629
45,2.250000,0.802327335,0.197656929,0.786280096,0.213711768,0.161575198,0.219749212
46,2.300000,0.809009016,0.190975606,0.794744730,0.205247074,0.183259219,0.209560752
47,2.350000,0.806381822,0.193602175,0.798181713,0.201810032,0.168786108,0.199804336
48,2.400000,0.809127808,0.190856054,0.798785269,0.201206297,0.169418275,0.191057742
49,2.450000,0.781622887,0.218360379,0.769800663,0.230191037,0.153220206,0.184058666
50,2.500000,0.802737355,0.197246119,0.788198531,0.211792991,0.188688993,0.201090306
51,2.550000,0.809737444,0.190245748,0.796423197,0.203568190,0.180741727,0.213741183
52,2.600000,0.805249453,0.194733560,0.794305265,0.205686241,0.153839886,0.204720795
53,2.650000,0.807587504,0.192395091,0.794823110,0.205168366,0.162476450,0.211336464
54,2.700000,0.811849236,0.188132912,0.794611156,0.205380157,0.164795876,0.193109035
55,2.750000,0.790369511,0.209612355,0.780954480,0.219036877,0.173514903,0.212063223
56,2.800000,0.814359903,0.185621843,0.797696352,0.202294946,0.170863330,0.199121803
57,2.850000,0.932593882,0.067397639,0.829251289,0.170740440,0.230108976,0.189662784
58,2.900000,0.919190586,0.080799289,0.826331973,0.173659429,0.293668449,0.200603217
59,2.950000,0.885422170,0.114562407,0.826859236,0.173131719,0.288025856,0.208982289
60,3.000000,0.871249557,0.128732190,0.826038003,0.173952609,0.274330914,0.211966276
61,3.050000,0.866103590,0.133877069,0.831430435,0.168560296,0.233116508,0.205865413
62,3.100000,0.858582914,0.141397446,0.825651050,0.174339816,0.212077498,0.209575146
63,3.150000,0.851441205,0.148539349,0.815321743,0.184669152,0.195885122,0.204288483
64,3.200000,0.839508474,0.160471871,0.803940415,0.196050435,0.198467106,0.216068596
65,3.250000,0.834072888,0.165907264,0.795680761,0.204310045,0.192946017,0.207192898
66,3.300000,0.839324176,0.160655037,0.798989058,0.201001644,0.187602729,0.191248775
67,3.350000,0.848115027,0.151864305,0.804563344,0.195427299,0.190720052,0.188394904
68,3.400000,0.852161288,0.147818565,0.803745925,0.196244642,0.194068104,0.196399152
69,3.450000,0.843954086,0.156024411,0.794869959,0.205120459,0.178308904,0.193948299
70,3.500000,0.843058527,0.156918868,0.795959592,0.204030603,0.185108572,0.210407197
