frame,time_sec,p_now_ch1,p_now_ch2,p_future_ch1,p_future_ch2,vad_ch1,vad_ch2
0,0.000000,0.462461084,0.537334442,0.496096075,0.503822267,0.164265290,0.209774524
1,0.050000,0.751771152,0.248018101,0.628601193,0.371285230,0.256035775,0.129703313
2,0.100000,0.603345037,0.396310955,0.554003000,0.445889294,0.266303301,0.132250607
3,0.150000,0.627112329,0.372639447,0.553011894,0.446912557,0.396937758,0.157564908
4,0.200000,0.928624630,0.071351744,0.686357141,0.313616663,0.639760077,0.146671101
5,0.250000,0.967179298,0.032814279,0.663940012,0.336050153,0.839008570,0.135319412
6,0.300000,0.953529000,0.046463937,0.647086501,0.352904886,0.762041271,0.126681000
7,0.350000,0.887698889,0.112288117,0.602251112,0.397740483,0.690205097,0.151530072
8,0.400000,0.879482865,0.120502740,0.603017271,0.396973997,0.566644669,0.147794977
9,0.450000,0.819558442,0.180423737,0.603489697,0.396501601,0.429612815,0.139006793
10,0.500000,0.766539574,0.233441442,0.605830133,0.394161463,0.323258460,0.122246265
11,0.550000,0.711911082,0.288069278,0.585741043,0.414250493,0.277502775,0.123452514
12,0.600000,0.871030748,0.128959119,0.600450933,0.399540812,0.338149518,0.144475207
13,0.650000,0.887275815,0.112715803,0.568961680,0.431029916,0.514278710,0.129851416
14,0.700000,0.774517953,0.225466996,0.523508489,0.476482362,0.351832360,0.128194541
15,0.750000,0.814623952,0.185363799,0.494680762,0.505309999,0.431546420,0.145947233
16,0.800000,0.886741459,0.113250375,0.530127525,0.469863117,0.625299990,0.167944789
17,0.850000,0.924217403,0.075775713,0.607760310,0.392230392,0.669582248,0.172593594
18,0.900000,0.931082368,0.068911113,0.621186197,0.378804386,0.717327118,0.148561642
19,0.950000,0.943484783,0.056508888,0.650054455,0.349935770,0.775605857,0.152781546
20,1.000000,0.949519157,0.050474409,0.649945021,0.350045085,0.710802495,0.150013581
21,1.050000,0.953767478,0.046226118,0.653636873,0.346353263,0.649737418,0.147109836
22,1.100000,0.956654668,0.043338738,0.670309305,0.329680949,0.621225715,0.136547774
23,1.150000,0.959335387,0.040657926,0.688973367,0.311016917,0.599593818,0.148368582
24,1.200000,0.963247836,0.036745299,0.716725767,0.283264488,0.598752797,0.125366032
25,1.250000,0.959616840,0.040375482,0.718538046,0.281451911,0.528955460,0.148135647
26,1.300000,0.959677994,0.040313799,0.715644062,0.284345746,0.444887340,0.148956984
27,1.350000,0.951610804,0.048379455,0.711440563,0.288549125,0.346699893,0.137793735
28,1.400000,0.937764347,0.062224042,0.697640300,0.302349299,0.309034169,0.132601410
29,1.450000,0.917967498,0.082019269,0.703177392,0.296812385,0.289314359,0.116882391
30,1.500000,0.918555498,0.081431761,0.701420069,0.298569590,0.341910958,0.119143337
31,1.550000,0.864001334,0.135981217,0.715960503,0.284029692,0.282844871,0.122725487
32,1.600000,0.841203570,0.158778012,0.727156222,0.272834152,0.212336153,0.145866916
33,1.650000,0.821749687,0.178231403,0.725580454,0.274409860,0.212182119,0.162799940
34,1.700000,0.810513914,0.189466983,0.731112361,0.268877864,0.185402259,0.133806601
35,1.750000,0.787698567,0.212283030,0.725238860,0.274751514,0.146679416,0.126497164
36,1.800000,0.889637828,0.110351905,0.746734977,0.253255576,0.195893258,0.127826974
37,1.850000,0.841193020,0.158793345,0.722465217,0.277525187,0.172166184,0.146854877
38,1.900000,0.770076036,0.229905948,0.709703743,0.290286392,0.123991966,0.151118860
39,1.950000,0.758329988,0.241650656,0.714817762,0.285172194,0.099645950,0.141330048
40,2.000000,0.762633145,0.237348214,0.716821253,0.283168972,0.090071768,0.142224804
41,2.050000,0.738658607,0.261321634,0.700813234,0.299176693,0.072310612,0.134653747
42,2.100000,0.735346735,0.264633417,0.701358974,0.298630834,0.077472545,0.141182333
43,2.150000,0.725180089,0.274799466,0.694053173,0.305936426,0.068706043,0.133799389
44,2.200000,0.724589705,0.275389314,0.692039251,0.307950169,0.065434150,0.128136083
45,2.250000,0.735219419,0.264759213,0.693725765,0.306263417,0.063845143,0.141067952
46,2.300000,0.747486234,0.252493441,0.693193793,0.306795359,0.074081250,0.144914806
47,2.350000,0.746489346,0.253489822,0.693508506,0.306480467,0.070800327,0.151133150
48,2.400000,0.757234991,0.242744267,0.684709787,0.315278947,0.070494562,0.131140575
49,2.450000,0.754475832,0.245502204,0.698286176,0.301702678,0.065660790,0.132911935
50,2.500000,0.762477577,0.237500846,0.705035329,0.294953436,0.068580776,0.127185524
51,2.550000,0.763453424,0.236524850,0.700097799,0.299890727,0.067044489,0.143092290
52,2.600000,0.777150095,0.222828671,0.700451910,0.299536616,0.068393417,0.142345116
53,2.650000,0.778318942,0.221659437,0.696379125,0.303609371,0.066575103,0.147356391
54,2.700000,0.776519477,0.223457426,0.688268423,0.311719716,0.065125033,0.133857176
55,2.750000,0.758404136,0.241572410,0.681513071,0.318475068,0.074991010,0.143944919
56,2.800000,0.764387429,0.235588774,0.682295203,0.317692846,0.074539244,0.138058677
57,2.850000,0.918098211,0.081891507,0.748573840,0.251414835,0.155893475,0.141430810
58,2.900000,0.881099582,0.118886694,0.722867191,0.277120829,0.153389022,0.146064878
59,2.950000,0.810342848,0.189635858,0.693194926,0.306792617,0.105920672,0.155616328
60,3.000000,0.795596540,0.204379156,0.689575791,0.310411334,0.111440480,0.140630528
61,3.050000,0.791707456,0.208267078,0.692743480,0.307243556,0.094964594,0.150792941
62,3.100000,0.771482944,0.228490263,0.676753461,0.323233664,0.085017234,0.146724656
63,3.150000,0.765300691,0.234671190,0.669799566,0.330187470,0.090505786,0.146160007
64,3.200000,0.756525218,0.243446916,0.667380571,0.332606465,0.088974945,0.163136899
65,3.250000,0.762117088,0.237855062,0.665992796,0.333994150,0.089909226,0.151932508
66,3.300000,0.755139947,0.244830593,0.652676821,0.347309887,0.082600020,0.133236751
67,3.350000,0.756690502,0.243279979,0.657770336,0.342216522,0.087977797,0.139742687
68,3.400000,0.767635703,0.232335478,0.665064931,0.334921569,0.089533113,0.142244577
69,3.450000,0.759390771,0.240579173,0.654028952,0.345957458,0.083999820,0.137592629
70,3.500000,0.754345477,0.245623112,0.646489024,0.353497386,0.079083197,0.134147570
71,3.550000,0.739182293,0.260785341,0.637590885,0.362395376,0.081717484,0.148739189
72,3.600000,0.733635604,0.266332150,0.638740063,0.361246020,0.091768987,0.161442310
73,3.650000,0.769276083,0.230694860,0.653578937,0.346407533,0.106217183,0.145205930
74,3.700000,0.731762707,0.268204391,0.631754398,0.368231863,0.089393191,0.149961501
75,3.750000,0.734858334,0.265108287,0.633502007,0.366483837,0.087112658,0.143512905
76,3.800000,0.722212672,0.277752012,0.626852870,0.373132795,0.083175033,0.142016098
77,3.850000,0.709235132,0.290728599,0.613722980,0.386262596,0.084395520,0.147519529
78,3.900000,0.692639232,0.307325184,0.607518733,0.392466843,0.097903192,0.172879666
79,3.950000,0.700696707,0.299265862,0.611937404,0.388047814,0.081087820,0.153836027
80,4.000000,0.710020959,0.289942652,0.617036939,0.382948518,0.094708666,0.158897355
81,4.050000,0.707074225,0.292887717,0.617044747,0.382940471,0.076668762,0.157890812
82,4.100000,0.713333845,0.286629319,0.613757551,0.386227608,0.087834045,0.145322904
83,4.150000,0.741585135,0.258382082,0.628893256,0.371092230,0.094715312,0.158719048
84,4.200000,0.737093329,0.262872398,0.628029585,0.371955842,0.095650584,0.139326379
85,4.250000,0.724742830,0.275218874,0.617751837,0.382232934,0.083559863,0.141086996
86,4.300000,0.721668839,0.278290868,0.613281488,0.386702687,0.080275506,0.148830518
87,4.350000,0.713441968,0.286517024,0.611357570,0.388626248,0.082092702,0.171498135
88,4.400000,0.709982574,0.289977074,0.605078399,0.394905597,0.094058439,0.145349503
89,4.450000,0.708317816,0.291640967,0.604802430,0.395181656,0.092149518,0.145244747
90,4.500000,0.692838013,0.307118595,0.600262403,0.399721175,0.076195501,0.156971633
91,4.550000,0.700782001,0.299175411,0.600178003,0.399805725,0.086329140,0.145931348
92,4.600000,0.695363164,0.304591447,0.596964180,0.403018981,0.077977225,0.139823854
93,4.650000,0.670711100,0.329244435,0.576628447,0.423354954,0.088375755,0.141541049
94,4.700000,0.661656320,0.338298500,0.571165085,0.428818583,0.085838914,0.138220161
95,4.750000,0.676303744,0.323649853,0.577770174,0.422213107,0.085691139,0.139930382
96,4.800000,0.692050934,0.307903260,0.589159667,0.410823494,0.084995247,0.142806500
97,4.850000,0.682567775,0.317385972,0.580477357,0.419505715,0.089629091,0.138824105
98,4.900000,0.681874156,0.318080872,0.580613077,0.419369459,0.110167950,0.176528245
99,4.950000,0.688535392,0.311418235,0.576868653,0.423114032,0.094289266,0.138799503
100,5.000000,0.689242184,0.310710311,0.585094452,0.414888144,0.095793203,0.120620668
101,5.050000,0.690760553,0.309191585,0.586645067,0.413337439,0.087073945,0.133327857
102,5.100000,0.705270648,0.294682682,0.596274137,0.403708458,0.096922316,0.132212728
103,5.150000,0.700654387,0.299299896,0.593395352,0.406586826,0.111501254,0.145893082
104,5.200000,0.701305807,0.298648030,0.599385142,0.400597781,0.089650661,0.139397532
105,5.250000,0.709046483,0.290906161,0.598095834,0.401886463,0.097323209,0.133956000
106,5.300000,0.691560805,0.308388561,0.590196252,0.409785777,0.102301225,0.139679119
107,5.350000,0.675447762,0.324499100,0.581405938,0.418575644,0.102144428,0.147626832
108,5.400000,0.635852337,0.364092708,0.564070642,0.435910523,0.096510865,0.168204337
109,5.450000,0.660902560,0.339044452,0.580869198,0.419112355,0.094857506,0.153534383
110,5.500000,0.656617105,0.343327880,0.579144180,0.420837134,0.087152489,0.159178823
111,5.550000,0.669747055,0.330198228,0.584426701,0.415554315,0.096628509,0.147665173
112,5.600000,0.664704442,0.335240245,0.591775954,0.408205181,0.079538263,0.151974067
113,5.650000,0.666374803,0.333571047,0.588520288,0.411460787,0.092922054,0.155423418
114,5.700000,0.668185472,0.331758738,0.591490567,0.408490390,0.090062648,0.146670967
115,5.750000,0.662723482,0.337218791,0.595629454,0.404351324,0.085687704,0.149876997
116,5.800000,0.664453387,0.335487992,0.594873488,0.405106932,0.087907530,0.137489572
117,5.850000,0.664997280,0.334944546,0.590291858,0.409688354,0.105941035,0.132030338
118,5.900000,0.701551855,0.298395485,0.604255974,0.395724654,0.119913042,0.145821735
119,5.950000,0.669424355,0.330518097,0.591491044,0.408489227,0.109818555,0.132429257
120,6.000000,0.673993409,0.325949103,0.596976340,0.403004050,0.088041402,0.151047572
121,6.050000,0.696032941,0.303912312,0.604733706,0.395246357,0.102662079,0.172885299
122,6.100000,0.671602428,0.328338027,0.601665497,0.398314238,0.085892349,0.149831071
123,6.150000,0.662874222,0.337065548,0.590526998,0.409452289,0.092238851,0.182357043
124,6.200000,0.678575516,0.321364015,0.603101134,0.396878362,0.093539476,0.138735145
125,6.250000,0.669607103,0.330329925,0.599484324,0.400494903,0.079493381,0.151203319
126,6.300000,0.666923583,0.333011687,0.592074990,0.407903552,0.085833490,0.164667040
127,6.350000,0.686160386,0.313779324,0.601152956,0.398826182,0.102429189,0.157602131
128,6.400000,0.662276566,0.337661535,0.591281056,0.408697575,0.111111604,0.172537357
129,6.450000,0.666048050,0.333887756,0.598206758,0.401771247,0.083995350,0.154312909
130,6.500000,0.670457244,0.329477608,0.594323099,0.405655146,0.087665558,0.151286632
131,6.550000,0.674381316,0.325552970,0.591881216,0.408096582,0.097328819,0.142860115
132,6.600000,0.653843462,0.346090823,0.587700129,0.412277848,0.084917068,0.185571089
133,6.650000,0.948410690,0.051577315,0.807580888,0.192406058,0.245528072,0.160240367
134,6.700000,0.973721147,0.026272034,0.875510752,0.124479286,0.647182643,0.160012007
135,6.750000,0.979535997,0.020457432,0.873723686,0.126265779,0.808828533,0.142815158
136,6.800000,0.984360993,0.015632952,0.871694148,0.128295749,0.861993968,0.145500883
137,6.850000,0.984280288,0.015713625,0.881553113,0.118437327,0.800648332,0.173532844
138,6.900000,0.984009564,0.015984239,0.890002966,0.109987848,0.655552804,0.176487491
139,6.950000,0.985309064,0.014684419,0.885001361,0.114989057,0.474756211,0.154910848
140,7.000000,0.984949470,0.015043383,0.883797705,0.116192177,0.351676792,0.151065618
141,7.050000,0.983352244,0.016639700,0.886245906,0.113743357,0.317300588,0.155521154
142,7.100000,0.981639862,0.018350648,0.894288182,0.105700694,0.232918292,0.150683194
143,7.150000,0.977511287,0.022477282,0.896622837,0.103365533,0.167156085,0.128731117
144,7.200000,0.981519163,0.018471500,0.876349449,0.123638481,0.247821614,0.127909824
145,7.250000,0.973062992,0.026923658,0.884991348,0.114995688,0.162430048,0.136931196
146,7.300000,0.981789887,0.018201178,0.881998658,0.117989875,0.181792974,0.144610107
147,7.350000,0.983592033,0.016400848,0.893272281,0.106717817,0.519976676,0.160479933
148,7.400000,0.978425860,0.021567930,0.882843137,0.117147371,0.895522356,0.194583282
149,7.450000,0.986974359,0.013019559,0.888167918,0.111822590,0.914698839,0.148541018
150,7.500000,0.984431267,0.015561763,0.859136164,0.140853450,0.903690636,0.121115908
151,7.550000,0.979451954,0.020539830,0.857900858,0.142088369,0.862222791,0.152017057
152,7.600000,0.978228271,0.021763695,0.887785852,0.112203844,0.853992939,0.150513038
153,7.650000,0.979750216,0.020241978,0.899198115,0.100791663,0.833297014,0.146998256
154,7.700000,0.984431088,0.015562410,0.910387814,0.089602791,0.842771173,0.130990297
155,7.750000,0.983798087,0.016195228,0.917036653,0.082953990,0.799756527,0.140840009
156,7.800000,0.983130693,0.016862996,0.911965132,0.088025868,0.797433734,0.136387408
157,7.850000,0.981220603,0.018773228,0.915175855,0.084815659,0.793522477,0.158118799
158,7.900000,0.975680232,0.024313550,0.915798783,0.084192775,0.773708284,0.172881573
159,7.950000,0.971462667,0.028530940,0.917029798,0.082961805,0.765691340,0.155976132
160,8.000000,0.966996372,0.032997325,0.918833613,0.081158064,0.756514072,0.142866403
161,8.050000,0.961304843,0.038688421,0.919041395,0.080950268,0.750134945,0.148815721
162,8.100000,0.952005327,0.047987610,0.910587132,0.089404516,0.740407884,0.160996094
163,8.150000,0.944576979,0.055415880,0.906916976,0.093074642,0.722766221,0.145975694
164,8.200000,0.941951275,0.058041677,0.908535659,0.091456108,0.715591431,0.178521156
165,8.250000,0.946378946,0.053613886,0.914613783,0.085377954,0.715027273,0.135152340
166,8.300000,0.947804093,0.052188907,0.920120478,0.079871312,0.704724669,0.152482748
167,8.350000,0.948310077,0.051683273,0.922903955,0.077088013,0.710928798,0.157408684
168,8.400000,0.944471598,0.055521678,0.921339691,0.078652158,0.694465816,0.167821243
169,8.450000,0.937030733,0.062962033,0.913908243,0.086083427,0.649617612,0.168196514
170,8.500000,0.887191236,0.112794578,0.905318260,0.094672993,0.593686104,0.146927997
171,8.550000,0.879781306,0.120201483,0.924037039,0.075954542,0.505888879,0.149990469
172,8.600000,0.843151271,0.156824902,0.929031849,0.070959620,0.335558563,0.163469225
173,8.650000,0.917856991,0.082129948,0.931094885,0.068896636,0.409920603,0.154611319
174,8.700000,0.875608265,0.124370269,0.933558464,0.066432811,0.226084292,0.151881322
175,8.750000,0.879980147,0.119997971,0.939472616,0.060518969,0.159819186,0.150563926
176,8.800000,0.877703786,0.122273467,0.941171765,0.058819801,0.152870744,0.159295022
177,8.850000,0.879504919,0.120471217,0.944696128,0.055295572,0.134563267,0.161528215
178,8.900000,0.885195911,0.114780746,0.946921945,0.053069785,0.129486322,0.154549450
179,8.950000,0.880185664,0.119790420,0.944927871,0.055063933,0.118305050,0.165828034
180,9.000000,0.883428872,0.116547003,0.945814252,0.054177493,0.107357822,0.136418268
181,9.050000,0.895143628,0.104833990,0.946084082,0.053907905,0.095356435,0.144887611
182,9.100000,0.912951171,0.087029174,0.949489951,0.050502170,0.086710565,0.140243709
183,9.150000,0.911748350,0.088231295,0.947412074,0.052580059,0.058401588,0.150690690
184,9.200000,0.915687025,0.084293537,0.946483910,0.053508133,0.060092203,0.134644896
185,9.250000,0.922141612,0.077838652,0.949406326,0.050585844,0.068492480,0.128117472
186,9.300000,0.922502160,0.077478223,0.949970067,0.050022062,0.064502195,0.157461077
187,9.350000,0.930745423,0.069236182,0.950559437,0.049432814,0.078633726,0.152691647
188,9.400000,0.925228357,0.074751899,0.948370278,0.051621884,0.068672031,0.142688915
189,9.450000,0.927606285,0.072374500,0.948134780,0.051857401,0.067200020,0.139435351
190,9.500000,0.936687708,0.063293934,0.951794088,0.048198111,0.077824533,0.135599166
191,9.550000,0.979383051,0.020608559,0.969691873,0.030300731,0.131867498,0.137446240
192,9.600000,0.979437113,0.020554889,0.966118634,0.033873878,0.174398914,0.148556754
193,9.650000,0.970901370,0.029087747,0.963508427,0.036483794,0.150601253,0.153563425
194,9.700000,0.962513804,0.037472259,0.959261835,0.040730361,0.161181271,0.135728776
195,9.750000,0.962061942,0.037923038,0.962045968,0.037946243,0.137620434,0.142057076
196,9.800000,0.960407078,0.039577179,0.962341130,0.037651226,0.118600935,0.137861237
