frame,time_sec,p_now_ch1,p_now_ch2,p_future_ch1,p_future_ch2,vad_ch1,vad_ch2
0,0.000000,0.391570002,0.608409047,0.414984822,0.585005820,0.191770792,0.225978434
1,0.050000,0.704502583,0.295480460,0.575848281,0.424142748,0.276436329,0.187006474
2,0.100000,0.587523818,0.412447363,0.530506611,0.469482780,0.317766070,0.201835811
3,0.150000,0.669923186,0.330052227,0.573676944,0.426312864,0.391519368,0.226646334
4,0.200000,0.929698169,0.070293270,0.807627499,0.192365095,0.547247052,0.208361924
5,0.250000,0.969152272,0.030841816,0.755107641,0.244885460,0.720466197,0.199876726
6,0.300000,0.952377677,0.047615569,0.677526534,0.322466522,0.645905554,0.191162586
7,0.350000,0.874503314,0.125484839,0.659247994,0.340745121,0.625059009,0.222875059
8,0.400000,0.913785160,0.086204901,0.676669419,0.323323101,0.574598849,0.228106439
9,0.450000,0.869653583,0.130333260,0.680682778,0.319309503,0.460151017,0.209221035
10,0.500000,0.808920026,0.191065535,0.657463014,0.342529476,0.367243350,0.213257074
11,0.550000,0.755869925,0.244114950,0.631871819,0.368120760,0.324395239,0.203827053
12,0.600000,0.890821636,0.109169997,0.689791977,0.310200691,0.357024789,0.212510437
13,0.650000,0.929119587,0.070873715,0.681846559,0.318145931,0.512311935,0.205092430
14,0.700000,0.837935388,0.162052497,0.591755509,0.408236742,0.422734976,0.193747550
15,0.750000,0.861849010,0.138140738,0.532896280,0.467095703,0.495249987,0.233587295
16,0.800000,0.918873787,0.081119306,0.585995913,0.413996011,0.646672904,0.248219520
17,0.850000,0.940011859,0.059982110,0.697905362,0.302086830,0.653409123,0.236400306
18,0.900000,0.945634544,0.054359708,0.725274622,0.274717748,0.670481324,0.217329264
19,0.950000,0.953025341,0.046968974,0.738473952,0.261518240,0.638676345,0.218485266
20,1.000000,0.957334042,0.042660169,0.734730065,0.265262067,0.612013042,0.218513608
21,1.050000,0.961072683,0.038921703,0.724280357,0.275712013,0.601695120,0.213779926
22,1.100000,0.965509415,0.034484979,0.724830329,0.275161982,0.572568238,0.197844625
23,1.150000,0.967661142,0.032333113,0.731560707,0.268431544,0.539011240,0.200042784
24,1.200000,0.973870397,0.026123917,0.742343605,0.257648736,0.531751812,0.203360349
25,1.250000,0.973829687,0.026164273,0.721946180,0.278045982,0.472517759,0.230327904
26,1.300000,0.976606727,0.023387127,0.718701184,0.281291008,0.450060397,0.215214431
27,1.350000,0.971767366,0.028225850,0.696951568,0.303040534,0.372857451,0.207984746
28,1.400000,0.967997193,0.031995378,0.690498829,0.309493303,0.367484868,0.190692097
29,1.450000,0.962315977,0.037676092,0.696925581,0.303066581,0.358443439,0.180416495
