frame,time_sec,p_now_ch1,p_now_ch2,p_future_ch1,p_future_ch2,vad_ch1,vad_ch2
0,0.000000,0.462453753,0.537341774,0.496091992,0.503826320,0.164262474,0.209776521
1,0.050000,0.751779854,0.248009443,0.628605366,0.371281087,0.256037891,0.129703611
2,0.100000,0.603349686,0.396306217,0.554005265,0.445887089,0.266302824,0.132252246
3,0.150000,0.627118766,0.372633010,0.553015113,0.446909308,0.396942437,0.157563746
4,0.200000,0.928625584,0.071350731,0.686359882,0.313613862,0.639760733,0.146674156
5,0.250000,0.967179358,0.032814253,0.663941860,0.336048305,0.839009285,0.135321230
6,0.300000,0.953529358,0.046463620,0.647087634,0.352903694,0.762041092,0.126680404
7,0.350000,0.887698829,0.112288199,0.602252841,0.397738785,0.690204740,0.151532471
8,0.400000,0.879482388,0.120503202,0.603018165,0.396973222,0.566644192,0.147796303
9,0.450000,0.819558561,0.180423543,0.603490949,0.396500379,0.429612368,0.139007717
10,0.500000,0.766540468,0.233440489,0.605831325,0.394160241,0.323258013,0.122246087
11,0.550000,0.711911380,0.288069069,0.585742056,0.414249569,0.277502894,0.123451293
12,0.600000,0.871031404,0.128958449,0.600451887,0.399539828,0.338150799,0.144473433
13,0.650000,0.887275636,0.112716019,0.568961322,0.431030303,0.514278471,0.129854053
14,0.700000,0.774516940,0.225468025,0.523508728,0.476482093,0.351831317,0.128194362
15,0.750000,0.814622581,0.185365185,0.494680524,0.505310237,0.431544840,0.145947278
16,0.800000,0.886739194,0.113252640,0.530126572,0.469864070,0.625299692,0.167947084
17,0.850000,0.924216509,0.075776517,0.607758880,0.392231822,0.669581532,0.172591597
18,0.900000,0.931081712,0.068911791,0.621184886,0.378805608,0.717327237,0.148558468
19,0.950000,0.943484306,0.056509338,0.650053918,0.349936247,0.775605798,0.152776867
20,1.000000,0.949518800,0.050474744,0.649944723,0.350045383,0.710802376,0.150010616
21,1.050000,0.953767121,0.046226379,0.653636932,0.346353233,0.649738073,0.147108972
22,1.100000,0.956654370,0.043339003,0.670309067,0.329681218,0.621224642,0.136548221
23,1.150000,0.959335208,0.040658087,0.688973188,0.311017096,0.599593580,0.148367107
24,1.200000,0.963247657,0.036745500,0.716725767,0.283264399,0.598753393,0.125368237
25,1.250000,0.959616661,0.040375676,0.718538582,0.281451344,0.528955579,0.148137569
26,1.300000,0.959677756,0.040314082,0.715644717,0.284345120,0.444887877,0.148958534
27,1.350000,0.951610923,0.048379302,0.711441696,0.288547993,0.346699953,0.137794524
28,1.400000,0.937764525,0.062223885,0.697641909,0.302347660,0.309034586,0.132603735
29,1.450000,0.917967796,0.082018912,0.703179300,0.296810448,0.289314806,0.116883755
30,1.500000,0.918555737,0.081431553,0.701421618,0.298568010,0.341910958,0.119142681
31,1.550000,0.864001513,0.135981023,0.715962410,0.284027725,0.282844752,0.122723103
32,1.600000,0.841205060,0.158776566,0.727158904,0.272831410,0.212336332,0.145867527
33,1.650000,0.821751177,0.178229868,0.725583196,0.274407119,0.212182641,0.162801236
34,1.700000,0.810515523,0.189465433,0.731115222,0.268874943,0.185402215,0.133808404
35,1.750000,0.787699759,0.212281764,0.725241423,0.274748981,0.146678478,0.126497895
36,1.800000,0.889638722,0.110350907,0.746737421,0.253253162,0.195892423,0.127829880
37,1.850000,0.841194630,0.158791736,0.722467959,0.277522445,0.172165245,0.146857113
38,1.900000,0.770077884,0.229904115,0.709705889,0.290284306,0.123992562,0.151120335
39,1.950000,0.758331299,0.241649300,0.714819968,0.285169959,0.099644631,0.141331643
40,2.000000,0.762635887,0.237345412,0.716824532,0.283165753,0.090072185,0.142224073
41,2.050000,0.738659739,0.261320591,0.700815082,0.299174964,0.072310805,0.134656668
42,2.100000,0.735348582,0.264631540,0.701361001,0.298628867,0.077471673,0.141183555
43,2.150000,0.725183308,0.274796247,0.694055736,0.305933893,0.068706274,0.133801222
44,2.200000,0.724593461,0.275385588,0.692042053,0.307947427,0.065433949,0.128135830
45,2.250000,0.735222399,0.264756233,0.693728089,0.306261122,0.063844949,0.141066998
46,2.300000,0.747487247,0.252492458,0.693195522,0.306793630,0.074080050,0.144915640
